,Panel,Product,Likes,Likes_new,Sentiment,Dislikes,Dislikes_new,SentimentDislike
0,MGA,B845,It is a good cigarette/ It is good/  After taste is good/ That’s it.,"['good', 'cigarette', 'good', 'after', 'taste', 'good']",0.99613094,Blank,['blank'],0.78981745
1,MGA,D782,Will say that it is a good cigarette and tastes good. It is a new blend in market and will ask them to try it once.,"['say', 'good', 'cigarette', 'taste', 'good', 'new', 'blend', 'market', 'ask', 'try']",0.9990263,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
2,MGA,D782,It is a smooth cigarette/ Yes.,"['smooth', 'cigarette', 'yes']",0.9506833,Blend is good and smooth.,"['blend', 'good', 'smooth']",0.9966787
3,MGA,K817,This is a very good product with very good taste.,"['very', 'good', 'product', 'very', 'good', 'taste']",0.9822858,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
4,MGA,B845,Smoke is good and is very smooth. It doesn’t hurt in the throat.,"['smoke', 'good', 'very', 'smooth', 'not', 'hurt', 'throat']",0.9424427,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
5,MGA,K817,That this is a very good cigarette and has good taste.,"['very', 'good', 'cigarette', 'good', 'taste']",0.99198896,No because cigarette is good with good taste.,"['no', 'cigarette', 'good', 'good', 'taste']",0.9982602
6,MGA,B845,That this is a very good cigarette/ it doesn’t hurt in the throat.,"['very', 'good', 'cigarette', 'not', 'hurt', 'throat']",0.9099643,It hurts in the throat after smoking. That should be changed.,"['hurt', 'throat', 'after', 'smoking', 'should', 'change']",0.027453879
7,MGA,D782,That this is a very good brand and will ask my friends to smoke it.,"['very', 'good', 'brand', 'ask', 'friend', 'smoke']",0.9948767,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
8,MGA,B845,This is a smooth cigarette and filter is good. Taste is good and will ask my friends to try it once.,"['smooth', 'cigarette', 'filter', 'good', 'taste', 'good', 'ask', 'friend', 'try']",0.9979426,cigarette is good. There is nothing to change in this blend.,"['cigarette', 'good', 'nothing', 'change', 'blend']",0.99708754
9,MGA,D782,I will say that ciggearte is superb and it doesn’t hurt in the throat. It is very smooth.,"['say', 'ciggearte', 'superb', 'not', 'hurt', 'throat', 'very', 'smooth']",0.94423616,No need to make any changes. It is good.,"['no', 'need', 'make', 'change', 'good']",0.9868096
