Text,Sentiment
The cigarette was little bit soft in the beginning but it became harsh while taking puffs,0
This cigarette is strong and it caused slight problem while smoking I like the stick and the filter of this cigarette but few changes are definitely required It should have some flavors,0
It is a good cigarette but it caused slight irritation in the throat while smoking,0
This cigarette is smooth and good I like it,1
This cigarette is little bit hard,0
The filter is strong and firm and I like it The cigarette is little bit hard and it caused irritation in the throat,0
Yes filter was nice cigarette was not smooth,0
Yes cigarette was smooth and slightly hard ,0
It is very smooth light and nice I will share it with my friends ,1
I will tell my friends that cigarette is smooth filter is nice ,1
Yes filter is smooth and puffing is easy,1
Filter is nice and hard,1
I will tell my friends that cigarette was hard and it was irritating in the throat ,0
cigarette is smooth and it is not irritating in the throat ,1
Taste is nice and filter is perfect I will share it with my friends ,1
cigarette is slightly hard but nice,0
It is nice,1
I like its filter it is nice for lips,1
cigarette is too hard and it irritate in the throat it should be light,0
cigarette is smooth I will share it with my friends ,1
It is very smooth as compared to previous one,1
Tobacco is smooth nice,1
No I didnt like it,0
Yes it is smooth tobacco quantity is fine filter is perfect ,1
Filter is soft I will share it with my friends ,1
cigarette is smooth filter is nice,1
It is smooth and filter is soft,1
Yes it is slightly hard and it irritate in the throat ,0
I like its filter and it was smooth,1
Yes cigarette is nice taste is fine I will share it with my friends ,1
Yes filter is nice light I will share it with my friends ,1
Filter is nice smooth,1
It is better than previous one ,1
Filter is big,1
Yes holding in hand is easy filter is nice,1
Holding is easy and filter is nice light,1
It is irritating in the throat ,0
cigarette is nice light and puffing was easy filter was nice,1
Yes it was nice sweet and soft,1
Filter is very nice puffing is easy,1
Filter is smooth and nice,1
It is smooth and normal,1
Yes filter is nice,1
Its filter is very nice,1
Filter is nice,1
cigarette is too hard it should be light,0
Yes it is very smooth and filter is nice,1
It is smooth puffing was easy,1
Yes tobacco quantity is fine filter is nice,1
It is smooth puffing is easy and filter is nice ,1
Yes filter is smooth puffing is easy ,1
Quality is nice ,1
Yes smoothness is nice ,1
It is light better and smooth,1
cigarette is light and nice,1
It is very strong and irritate in the throat ,1
Yes filter was big and smooth ,1
No I didnt like it I smoke mild cigarette this is slightly hard ,0
Taste is nice smooth,1
Filter is smooth easy to hold and it was irritating in the throat ,0
Yes cigarette is smooth and filter is nice,1
cigarette is smooth and soft,1
It is irritating in the throat filter is soft ,0
No this is strong cigarette just like previous one,0
It is smooth smoke is nice and filter is perfect ,1
It is normal just like Gold Flake ,1
cigarette is nice filter is perfect ,1
Yes it is soft,1
Taste and flavor is very nice,1
cigarette is smooth and puffing is easy ,1
It is smooth taste is nice,1
Filter is nice smooth and it does not irritate in the throat ,1
This is hard,1
cigarette is light and smooth ,1
Yes cigarette is light and smooth,1
It is nice brand,1
It is soft filter is normal,1
cigarette is very nice smooth,1
Yes cigarette is slighty strong smoke was not proper and smell was not too much,0
Yes cigarette was light smoke was too much and it was bitter,0
Yes cigarette is very nice filter is good soft,1
Filter was nice taste was good,1
Yes this cigarette is smooth and flavor is nice,1
It is smooth light normal cigarette ,1
No everything is fine taste was perfect ,1
Filter is different and nice,1
It was slighty hard,0
Yes cigarette is nice taste is good,1
I like its filter ,1
Yes cigarette is nice smooth and I like it,1
Flavor is nice and smoke quantity is fine I like it,1
Yes it is nice I like it ,1
Yes it was soft and puffing was easy,1
cigarette is nice taste is good ,1
I liked everything filter is good feels cool,1
I will tell that this is smooth and light,1
